Statistical profiling result from isolate-0x1fd2d10-v8.log, (17037 ticks, 3 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
      3    0.0%

 [Shared libraries]:
   ticks  total  nonlib   name
     73    0.4%    0.5%  v8::internal::Factory::NewJSArrayStorage(v8::internal::Handle<v8::internal::JSArray>, int, int, v8::internal::ArrayStorageAllocationMode)
     71    0.4%    0.5%  v8::internal::Factory::NewFixedArray(int, v8::internal::PretenureFlag)
     68    0.4%    0.4%  v8::internal::IncrementalMarkingMarkingVisitor::VisitFixedArrayIncremental(v8::internal::Map*, v8::internal::HeapObject*)
     67    0.4%    0.4%  v8::internal::BasicJsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
     63    0.4%    0.4%  v8::internal::Handle<v8::internal::Object> v8::internal::HandleScope::CloseAndEscape<v8::internal::Object>(v8::internal::Handle<v8::internal::Object>)
     62    0.4%    0.4%  v8::internal::Heap::IteratePointersToFromSpace(v8::internal::HeapObject*, int, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
     62    0.4%    0.4%  v8::internal::Heap::AllocateRawFixedArray(int, v8::internal::PretenureFlag)
     58    0.3%    0.4%  v8::internal::SimpleStringBuilder::AddString(char const*)
     55    0.3%    0.4%  v8::internal::BasicJsonStringifier::Result v8::internal::BasicJsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
     54    0.3%    0.3%  v8::internal::SimpleStringBuilder::Finalize()
     50    0.3%    0.3%  void node::StreamBase::JSMethod<node::StreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     47    0.3%    0.3%  void node::StreamBase::JSMethod<node::StreamWrap, &node::StreamBase::Writev>(v8::FunctionCallbackInfo<v8::Value> const&)
     46    0.3%    0.3%  v8::internal::JsonParser<true>::ParseJsonObject()
     41    0.2%    0.3%  v8::internal::StoreBuffer::PrepareForIteration()
     40    0.2%    0.3%  v8::internal::Zone::New(unsigned long)
     36    0.2%    0.2%  v8::internal::JsonParser<true>::AdvanceSkipWhitespace()
     36    0.2%    0.2%  v8::internal::Factory::NewUninitializedFixedArray(int)
     35    0.2%    0.2%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
     35    0.2%    0.2%  v8::internal::JSObject::EnsureWritableFastElements(v8::internal::Handle<v8::internal::JSObject>)
