Statistical profiling result from isolate-0x2baed10-v8.log, (589 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1   20.0%      LazyCompile: Join native array.js:102:14
      1  100.0%        LazyCompile: ~InnerArrayJoin native array.js:317:24
      1  100.0%          LazyCompile: ~join native array.js:333:19
      1  100.0%            LazyCompile: ~startup.processConfig node.js:253:35
      1   20.0%      Function: ~<anonymous> /home/phillipdaw/code/gpxAQI/server/fireAqiServer.js:1:11
      1  100.0%        LazyCompile: ~Module._compile module.js:367:37
      1  100.0%          LazyCompile: ~Module._extensions..js module.js:415:37
      1  100.0%            LazyCompile: ~Module.load module.js:335:33
      2   12.5%    v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      2  100.0%      LazyCompile: ~realpathSync fs.js:1383:40
      1   50.0%        LazyCompile: ~toRealPath module.js:111:20
      1  100.0%          LazyCompile: ~tryFile module.js:106:17
      1  100.0%            LazyCompile: ~tryPackage module.js:90:20
      1   50.0%        LazyCompile: *toRealPath module.js:111:20
      1  100.0%          LazyCompile: ~tryFile module.js:106:17
      1  100.0%            LazyCompile: ~tryExtensions module.js:116:23
      1    6.3%    v8::internal::ToBooleanIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      LazyCompile: ~Module._findPath module.js:128:28
      1  100.0%        LazyCompile: ~Module._resolveFilename module.js:312:35
      1  100.0%          LazyCompile: Module._load module.js:272:24
      1  100.0%            LazyCompile: ~Module.require module.js:351:36
      1    6.3%    v8::internal::Runtime_TryInstallOptimizedCode(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      LazyCompile: *IsDataDescriptor native v8natives.js:187:26
      1  100.0%        LazyCompile: ~DefineObjectProperty native v8natives.js:461:30
      1  100.0%          LazyCompile: ~DefineOwnProperty native v8natives.js:630:27
      1  100.0%            LazyCompile: ~defineProperty native v8natives.js:763:30
      1    6.3%    LazyCompile: wrapfunction /home/phillipdaw/code/gpxAQI/server/node_modules/depd/index.js:395:23
